target_id,target_title,citation,classification,justification,next_step
A.2.2,AI policy,"ISO/IEC 42001:2023, Annex A, Control A.2.2",covered,"Covered by evidence: policies/ai-policy-2026-Q1.md, board-meeting-minutes-2026-01-17.pdf.",Continue routine monitoring.
A.2.3,Alignment with other organizational policies,"ISO/IEC 42001:2023, Annex A, Control A.2.3",covered,AI policy is an annex of the enterprise information-security policy; cross-references reviewed 2026-Q1.,Continue routine monitoring.
A.2.4,Review of the AI policy,"ISO/IEC 42001:2023, Annex A, Control A.2.4",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.3.2,AI roles and responsibilities,"ISO/IEC 42001:2023, Annex A, Control A.3.2",covered,"Covered by evidence: rasci/ai-governance-rasci-2026-Q1.xlsx, jd/ai-governance-lead.pdf.",Continue routine monitoring.
A.3.3,Reporting of concerns,"ISO/IEC 42001:2023, Annex A, Control A.3.3",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.4.2,Resource documentation,"ISO/IEC 42001:2023, Annex A, Control A.4.2",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.4.3,Data resources,"ISO/IEC 42001:2023, Annex A, Control A.4.3",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.4.4,Tooling resources,"ISO/IEC 42001:2023, Annex A, Control A.4.4",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.4.5,System and computing resources,"ISO/IEC 42001:2023, Annex A, Control A.4.5",not-applicable,"Organization is a deployer, not a provider, for both inventoried AI systems. Supplier-facing Annex A controls addressed via vendor-management track.",None; control out of scope.
A.4.6,Human resources,"ISO/IEC 42001:2023, Annex A, Control A.4.6",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.5.2,AI system impact assessment process,"ISO/IEC 42001:2023, Annex A, Control A.5.2",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.5.3,Documentation of AI system impact assessments,"ISO/IEC 42001:2023, Annex A, Control A.5.3",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.5.4,Assessing AI system impact on individuals or groups,"ISO/IEC 42001:2023, Annex A, Control A.5.4",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.5.5,Assessing societal impacts of AI systems,"ISO/IEC 42001:2023, Annex A, Control A.5.5",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.6.1.2,Objectives for responsible development of AI systems,"ISO/IEC 42001:2023, Annex A, Control A.6.1.2",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.6.1.3,Processes for responsible design and development,"ISO/IEC 42001:2023, Annex A, Control A.6.1.3",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.6.2.2,AI system requirements and specification,"ISO/IEC 42001:2023, Annex A, Control A.6.2.2",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.6.2.3,Documentation of AI system design and development,"ISO/IEC 42001:2023, Annex A, Control A.6.2.3",covered,"Covered by evidence: design/ClaimsTriageAI-v1-design-doc-v1.2.pdf, design/ProviderNetworkSearchAI-v2-design-doc-v2.0.pdf.",Continue routine monitoring.
A.6.2.4,AI system verification and validation,"ISO/IEC 42001:2023, Annex A, Control A.6.2.4",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.6.2.5,AI system deployment,"ISO/IEC 42001:2023, Annex A, Control A.6.2.5",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.6.2.6,AI system operation and monitoring,"ISO/IEC 42001:2023, Annex A, Control A.6.2.6",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.6.2.7,AI system technical documentation,"ISO/IEC 42001:2023, Annex A, Control A.6.2.7",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.6.2.8,AI system log recording,"ISO/IEC 42001:2023, Annex A, Control A.6.2.8",covered,Covered by evidence: ops/ClaimsTriageAI-v1-logging-runbook.md.,Continue routine monitoring.
A.7.2,Data for development and enhancement of AI systems,"ISO/IEC 42001:2023, Annex A, Control A.7.2",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.7.3,Acquisition of data,"ISO/IEC 42001:2023, Annex A, Control A.7.3",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.7.4,Quality of data for AI systems,"ISO/IEC 42001:2023, Annex A, Control A.7.4",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.7.5,Data provenance,"ISO/IEC 42001:2023, Annex A, Control A.7.5",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.7.6,Data preparation,"ISO/IEC 42001:2023, Annex A, Control A.7.6",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.8.2,System documentation and information for users,"ISO/IEC 42001:2023, Annex A, Control A.8.2",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.8.3,External reporting,"ISO/IEC 42001:2023, Annex A, Control A.8.3",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.8.4,Communication of incidents,"ISO/IEC 42001:2023, Annex A, Control A.8.4",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.8.5,Information for interested parties,"ISO/IEC 42001:2023, Annex A, Control A.8.5",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.9.2,Processes for responsible use of AI systems,"ISO/IEC 42001:2023, Annex A, Control A.9.2",partially-covered,Monitoring dashboard proposal exists; implementation scheduled for 2026-Q2 completion.,Complete the implementation plan; track progress in the risk register.
A.9.3,Objectives for responsible use of AI systems,"ISO/IEC 42001:2023, Annex A, Control A.9.3",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.9.4,Intended use of the AI system,"ISO/IEC 42001:2023, Annex A, Control A.9.4",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.10.2,Allocating responsibilities,"ISO/IEC 42001:2023, Annex A, Control A.10.2",not-applicable,Third-party provider contracts handled under enterprise vendor-management policy; control formally out of AIMS scope.,None; control out of scope.
A.10.3,Suppliers,"ISO/IEC 42001:2023, Annex A, Control A.10.3",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
A.10.4,Customers,"ISO/IEC 42001:2023, Annex A, Control A.10.4",not-covered,REQUIRES REVIEWER DECISION: no evidence of coverage and no exclusion justification.,Either document evidence of coverage or justify not-applicable.
CROSSWALK:nist-ai-rmf:reference-beyond-target,"Cross-framework gap summary (nist-ai-rmf, reference-beyond-target)",crosswalk-matrix-builder,crosswalk-summary,5 no-mapping rows surfaced from crosswalk-matrix-builder.,Query crosswalk-matrix-builder for full gap rows and citations.
CROSSWALK:nist-ai-rmf:target-beyond-reference,"Cross-framework gap summary (nist-ai-rmf, target-beyond-reference)",crosswalk-matrix-builder,crosswalk-summary,6 no-mapping rows surfaced from crosswalk-matrix-builder.,Query crosswalk-matrix-builder for full gap rows and citations.
CROSSWALK:eu-ai-act:reference-beyond-target,"Cross-framework gap summary (eu-ai-act, reference-beyond-target)",crosswalk-matrix-builder,crosswalk-summary,18 no-mapping rows surfaced from crosswalk-matrix-builder.,Query crosswalk-matrix-builder for full gap rows and citations.
CROSSWALK:eu-ai-act:target-beyond-reference,"Cross-framework gap summary (eu-ai-act, target-beyond-reference)",crosswalk-matrix-builder,crosswalk-summary,8 no-mapping rows surfaced from crosswalk-matrix-builder.,Query crosswalk-matrix-builder for full gap rows and citations.
CROSSWALK:uk-atrs:reference-beyond-target,"Cross-framework gap summary (uk-atrs, reference-beyond-target)",crosswalk-matrix-builder,crosswalk-summary,6 no-mapping rows surfaced from crosswalk-matrix-builder.,Query crosswalk-matrix-builder for full gap rows and citations.
CROSSWALK:uk-atrs:target-beyond-reference,"Cross-framework gap summary (uk-atrs, target-beyond-reference)",crosswalk-matrix-builder,crosswalk-summary,7 no-mapping rows surfaced from crosswalk-matrix-builder.,Query crosswalk-matrix-builder for full gap rows and citations.
CROSSWALK:colorado-sb-205:reference-beyond-target,"Cross-framework gap summary (colorado-sb-205, reference-beyond-target)",crosswalk-matrix-builder,crosswalk-summary,2 no-mapping rows surfaced from crosswalk-matrix-builder.,Query crosswalk-matrix-builder for full gap rows and citations.
CROSSWALK:colorado-sb-205:target-beyond-reference,"Cross-framework gap summary (colorado-sb-205, target-beyond-reference)",crosswalk-matrix-builder,crosswalk-summary,0 no-mapping rows surfaced from crosswalk-matrix-builder.,Query crosswalk-matrix-builder for full gap rows and citations.
